Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,description,target
36,male,1,own,little,little,1374,6,furniture/equipment,"The 36 year old male has an unskilled and resident job, owns housing, has little savings and checking accounts, was granted a 1374 credit amount over 6 months duration to purchase furniture/equipment.",good risk
39,male,1,own,little,,426,6,radio/TV,"The person data for the 39 year old male with a job category of unskilled and resident housing status of own has a little saving accounts field, a credit amount of 426 for a 6 month duration and a purpose of radio/TV.",good risk
42,female,2,rent,rich,rich,409,12,radio/TV,"The person is a 42 year old female with a skilled job who rents housing, has rich saving and checking accounts, has requested a credit amount of 409 for a duration of 12 months for the purpose of purchasing a radio/TV.",good risk
34,male,2,own,little,moderate,2415,7,radio/TV,"A 34 year old male with a skilled job who owns their housing has a little savings account and a moderate checking account, requested a 2415 credit amount over a 7 month duration to purchase a radio/TV.",good risk
63,male,2,own,little,little,6836,60,business,The person is a 63 year old male with a skilled job who owns their housing. They have little money in both their saving and checking accounts. They have requested a 6836 credit amount over a duration of 60 months for a business purpose.,bad risk
36,male,2,own,rich,moderate,1913,18,business,The 36 year old male has a skilled job and owns his housing. His rich saving accounts and moderate checking account are noted. The credit amount is 1913 for a business purpose with a 18 month duration.,good risk
27,male,2,own,little,little,4020,24,furniture/equipment,"Here is a strictly factual description of the given person data in a single paragraph: The person is a 27 year old male with a skilled job who owns their housing, has little savings and checking accounts, has requested a credit amount of 4020 for a duration of 24 months to purchase furniture/equipment.",bad risk
30,male,2,own,moderate,moderate,5866,18,car,"The 30 year old male has a skilled job, owns his housing, has moderate saving and checking accounts, applied for a 5866 credit amount over an 18 month duration to purchase a car.",bad risk
57,male,1,rent,,,1264,12,business,A 57 year old male with an unskilled resident job living in rented housing is requesting a 1264 credit amount over 12 months duration for a business purpose.,bad risk
33,female,3,own,little,rich,1474,12,furniture/equipment,The person is a 33 year old female with a highly skilled job who owns her housing. She has a little savings account and a rich checking account. She is seeking a credit amount of 1474 over a duration of 12 months for the purpose of purchasing furniture/equipment.,good risk
25,male,1,own,little,moderate,4746,45,radio/TV,Age 25 male with job category unskilled and resident housing own saving accounts little checking account moderate credit amount 4746 over a duration of 45 months for the purpose radio/TV,bad risk
31,male,2,free,little,,6110,48,education,"The 31 year old male has a skilled job and lives in free housing with little savings. He requested a 48 month, 6110 credit amount loan for the purpose of education.",bad risk
37,male,2,own,little,rich,2100,18,radio/TV,"The 37 year old male has a skilled job, owns their housing, has little savings, a rich checking account, a $2100 credit amount over a 18 month duration to purchase a radio/TV.",good risk
37,male,2,own,little,rich,1225,10,domestic appliances,"The 37 year old male has a skilled job, owns their housing, has a little savings account, a rich checking account, took out a 1225 credit amount over 10 month duration to purchase domestic appliances.",good risk
24,male,2,own,little,moderate,458,9,radio/TV,The person is a 24 year old male with a skilled job who owns his housing. He has a little savings account and a moderate checking account. He requested a 458 credit amount over a duration of 9 months to purchase a radio/TV.,good risk
30,male,3,own,quite rich,,2333,30,radio/TV,The person is a 30 year old male with a highly skilled job who owns their housing. They have quite rich saving accounts and requested a 2333 credit amount over a 30 month duration to purchase a radio/TV.,good risk
26,male,2,own,quite rich,moderate,1158,12,radio/TV,"A 26 year old male with a skilled job living in his own housing has quite rich savings, a moderate checking account, took out a credit amount of 1158 with a 12 month duration to purchase a radio/TV.",good risk
44,male,1,own,little,moderate,6204,18,repairs,"The 44 year old male has an unskilled resident job, owns housing, has little savings accounts, moderate checking account, applied for a 6204 credit amount over an 18 month duration in order to pay for repairs.",bad risk
24,male,2,rent,moderate,little,6187,30,car,A 24 year old male with a skilled job living in rented housing has a moderate saving account and a little checking account. He requested a 6187 credit amount over a duration of 30 months for the purpose of a car.,bad risk
58,female,1,free,little,little,6143,48,car,The person is a 58 year old female with an unskilled resident job living in free housing with little in her savings and checking accounts. She has requested a 6143 credit amount over a duration of 48 months for the purpose of a car.,bad risk
35,female,3,own,little,,1393,11,car,"The person is a 35 year old female with a highly skilled job who owns her housing. She has little savings and is seeking a 1,393 credit amount over an 11 month duration to purchase a car.",good risk
39,male,2,own,quite rich,,2299,36,radio/TV,"A 39 year old male with a skilled job who owns their housing has quite rich saving accounts, requested a 2299 credit amount over a 36 month duration to purchase a radio/TV.",good risk
23,female,0,rent,quite rich,little,1352,6,car,"The person is a 23 year old female who is unskilled and non-resident, rents housing, has quite rich saving accounts, has little checking account funds, has requested a credit amount of 1352 for a duration of 6 months for the purpose of purchasing a car.",good risk
39,male,1,own,little,,7228,11,car,"The 39 year old male has an unskilled resident job, lives in his own housing, has a little savings account, requested a 7228 credit amount over a 11 month duration to purchase a car.",bad risk
28,female,2,own,moderate,,2073,12,radio/TV,The person is a 28 year old female with a skilled job who owns her housing. She has a moderate savings account and is requesting a credit amount of 2073 over a duration of 12 months for the purpose of a radio/TV.,good risk
29,male,1,own,,moderate,2333,24,furniture/equipment,"The 29 year old male has an unskilled and resident job, owns housing, has a moderate checking account, requested a credit amount of 2333 for a 24 month duration to purchase furniture/equipment.",good risk
30,male,3,own,little,moderate,5965,27,car,"The 30 year old male has a highly skilled job, owns his housing, has little savings, a moderate checking account, took out a 5965 credit amount over a 27 month duration for the purpose of a car.",good risk
25,male,2,own,little,,1262,12,radio/TV,The 25 year old male has a skilled job and owns his housing. His saving accounts status is little. He has requested a credit amount of 1262 for a duration of 12 months for the purpose of a radio/TV.,good risk
31,male,2,own,,,3378,18,car,"The 31 year old male has a skilled job, owns housing, requested a car loan of 3378 for a duration of 18 months.",bad risk
57,male,2,free,little,moderate,2225,36,car,"The person is a 57 year old male with a skilled job living in free housing. He has a little savings account and a moderate checking account. He requested a $2,225, 36 month car loan.",good risk
26,male,1,own,,,783,6,car,The person is a 26 year old male with an unskilled resident job who owns housing. The credit amount is 783 for a 6 month car loan.,good risk
52,male,3,own,,moderate,6468,12,radio/TV,"The 52 year old male has a highly skilled job, owns his housing, has a moderate checking account, applied for a $6,468 credit with a 12 month duration to purchase a radio/TV.",bad risk
31,female,2,own,little,,9566,36,radio/TV,The 31 year old female has a skilled job and owns her housing. She has a little savings account. She is requesting a 9566 credit amount over a 36 month duration to purchase a radio/TV.,bad risk
23,female,3,own,little,rich,1961,18,car,"The 23 year old female is highly skilled, owns her housing, has little savings, a rich checking account, was granted a 1961 credit amount over an 18 month duration to purchase a car.",good risk
23,female,1,rent,little,little,6229,36,furniture/equipment,"The 23 year old female with a job classification of unskilled and resident has rent housing, little savings accounts, little checking account, a 6229 credit amount over 36 months duration for the purpose of furniture/equipment.",bad risk
27,male,2,own,little,moderate,1391,9,business,"The person is a 27 year old male with a skilled job who owns their housing, has little savings accounts and a moderate checking account, was granted a 1391 credit amount over 9 months duration for a business purpose.",good risk
50,male,2,own,,moderate,1537,15,radio/TV,"The person is a 50 year old male with a skilled job who owns their housing, has a moderate checking account, requested a credit amount of 1537 for a duration of 15 months for the purpose of a radio/TV.",good risk
61,male,3,free,little,moderate,1953,36,business,"The person is a 61 year old male with a highly skilled job who lives in free housing, has little savings, a moderate checking account, requested a 1953 credit amount over 36 months for a business purpose.",bad risk
25,male,2,own,little,moderate,14421,48,business,"The person is a 25 year old male with a skilled job who owns their housing. They have a little savings account and a moderate checking account. They are seeking a 14,421 credit amount over a duration of 48 months for a business purpose.",bad risk
26,female,2,own,little,,3181,24,radio/TV,"The person is a 26 year old female with a skilled job who owns her housing. She has little in her savings account and is seeking a 3,181 credit amount over a 24 month duration to purchase a radio/TV.",good risk
48,male,2,own,,,5190,27,repairs,"The 48 year old male has a skilled job, owns his housing, has requested a 5190 credit amount over a 27 month duration to finance repairs.",good risk
29,female,2,own,little,,2171,12,radio/TV,The data describes a 29 year old female with a skilled job who owns her housing. She has a little savings account and is requesting a 2171 credit amount over a 12 month duration to purchase a radio/TV.,good risk
22,male,2,own,rich,moderate,1007,12,car,The person is a 22 year old male with a skilled job who owns their housing. They have a rich saving account and a moderate checking account. The credit amount is 1007 for a duration of 12 months for the purpose of a car.,good risk
37,male,2,free,little,,1819,36,education,The 37 year old male has a skilled job and lives in free housing with a little savings account. He requested a 1819 credit amount over a 36 month duration for education purposes.,bad risk
25,female,2,own,,,2394,36,radio/TV,"The 25 year old female has a skilled job, owns her housing, has requested a credit amount of 2394 for a duration of 36 months for the purpose of purchasing a radio/TV.",bad risk
30,female,2,own,little,,8133,36,car,The person is a 30 year old female with a skilled job who owns her housing. She has a little savings account and requested a credit amount of 8133 with a duration of 36 months for the purpose of a car purchase.,bad risk
46,male,1,rent,,,730,7,radio/TV,A 46 year old male with an unskilled resident job living in rented housing is seeking a 730 credit amount over a 7 month duration to purchase a radio/TV.,good risk
51,male,3,free,little,little,1164,8,vacation/others,A 51 year old male with a highly skilled job living in free housing has little savings and checking accounts. He has requested a 1164 credit amount over 8 months duration to be used for a vacation or other purposes.,good risk
41,female,1,own,little,moderate,5954,42,business,"The person is a 41 year old female with an unskilled resident job, living in her own housing. She has a little savings account and a moderate checking account. She is requesting a 5,954 credit amount over a 42 month duration for a business purpose.",bad risk
40,male,3,own,,little,1977,36,education,"The person is a 40 year old male with a highly skilled job who owns their housing, has a little checking account, was granted a 1977 credit amount over a duration of 36 months for the purpose of education.",good risk
66,male,3,free,little,little,1526,12,car,The person is a 66 year old male with a highly skilled job living in free housing. He has little money in his savings and checking accounts. He requested a 1526 credit amount over a 12 month duration to purchase a car.,bad risk
34,male,2,own,little,little,3965,42,radio/TV,"The 34 year old male has a skilled job, owns housing, has little in both savings and checking accounts, and is seeking a 3965 credit amount over 42 months duration for the purpose of purchasing a radio/TV.",bad risk
51,male,2,own,little,moderate,4771,11,radio/TV,The 51 year old male has a skilled job and owns his housing. His saving accounts are little and his checking account is moderate. He has requested a 4771 credit amount over a duration of 11 months for the purpose of purchasing a radio/TV.,good risk
39,male,1,own,,,9436,54,car,"A 39 year old male with an unskilled resident job, living in his own housing, requested a 9436 credit amount over 54 months duration for the purpose of a car purchase.",bad risk
22,male,2,own,little,moderate,3832,30,furniture/equipment,"A 22 year old male with a skilled job living in his own housing has a little savings account, a moderate checking account, requested a 3832 credit amount over a 30 month duration to purchase furniture/equipment.",bad risk
44,female,2,own,,,5943,24,radio/TV,"The 44 year old female has a skilled job, owns her housing, was granted a 5943 credit amount over a 24 month duration to purchase a radio/TV.",good risk
47,male,2,own,quite rich,,1213,15,radio/TV,The 47 year old male has a skilled job and owns his housing. His saving accounts are quite rich. He has requested a credit amount of 1213 with a duration of 15 months for the purpose of a radio/TV.,good risk
24,female,1,rent,moderate,,1568,18,business,"A 24 year old female with an unskilled resident job living in rented housing, with a moderate saving account, requested a 1568 credit amount over an 18 month duration for a business purpose.",bad risk
58,female,1,own,little,little,1755,24,vacation/others,"A 58 year old female with an unskilled resident job living in her own housing has a little savings account and a little checking account, has requested a 1,755 credit amount over a 24 month duration to be used for a vacation or other purposes.",bad risk
52,male,1,own,little,little,2315,10,radio/TV,"A 52 year old male with an unskilled resident job, living in his own housing, having little savings accounts and little checking account, requesting a 2315 credit amount over a 10 month duration to purchase a radio/TV.",good risk
29,female,3,own,little,,1412,12,business,"The person is a 29 year old female with a highly skilled job who owns her housing. She has little money in her savings accounts. She is requesting a 1,412 credit amount over a 12 month duration to start a business.",good risk
27,female,2,own,little,moderate,1295,18,furniture/equipment,"The person is a 27 year old female with a skilled job who owns her housing. She has a little savings account and a moderate checking account. She is requesting a 1,295 credit amount over a duration of 18 months for the purpose of purchasing furniture/equipment.",good risk
47,male,2,free,moderate,moderate,12612,36,education,A 47 year old male with a skilled job living in free housing has a moderate saving and checking account. He requested a 12612 credit amount over 36 month duration for an education purpose.,bad risk
30,male,3,own,moderate,little,2249,18,car,The person is a 30 year old male who is highly skilled with an own housing situation. He has a moderate amount in his saving account and little funds in his checking account. He has requested a credit amount of 2249 over a duration of 18 months for the purpose of purchasing a car.,good risk
28,male,2,own,little,little,1108,12,repairs,"The 28 year old male has a skilled job, owns his housing, has little in his savings and checking accounts, has requested a credit amount of 1108 for a 12 month duration in order to pay for repairs.",good risk
56,male,2,own,little,,618,12,radio/TV,A 56 year old male with a skilled job who owns their housing has a little savings account and requested a 618 credit amount over a 12 month duration to purchase a radio/TV.,bad risk
54,male,2,own,little,little,1409,12,car,"The 54 year old male has a skilled job, owns his housing, has little in his saving and checking accounts, is requesting a 1,409 credit amount over 12 months duration to purchase a car.",good risk
33,female,1,own,,,797,12,radio/TV,"The 33 year old female has an unskilled resident job, owns her housing, has requested a 797 credit amount over 12 months duration for the purpose of a radio/TV purchase.",good risk
20,male,2,rent,,rich,3617,24,furniture/equipment,"The data describes a 20 year old male with a skilled job who rents housing, has a rich checking account, was granted a 3617 credit amount over a 24 month duration to purchase furniture/equipment.",bad risk
54,male,2,own,rich,moderate,1318,12,car,The 54 year old male has a skilled job and owns housing. He has a rich saving account and a moderate checking account. He requested a 1318 credit amount over a 12 month duration to purchase a car.,good risk
58,male,2,rent,little,moderate,15945,54,business,"The person is a 58 year old male with a skilled job who rents housing, has little savings, a moderate checking account, requested a business loan of 15945 for a duration of 54 months.",bad risk
61,female,2,own,,,2012,12,education,"The 61 year old female has a skilled job, owns her housing, has requested a 2012 credit amount over a 12 month duration to finance an education purpose.",bad risk
34,male,2,own,moderate,moderate,2622,18,business,"The data describes a 34 year old male with a skilled job who owns his housing, has moderate savings and checking accounts, was approved for a credit amount of 2622 over a loan duration of 18 months for a business purpose.",good risk
36,male,2,own,little,moderate,2337,36,radio/TV,A 36 year old male with a skilled job living in his own housing has a little savings account and a moderate checking account. He requested a 2337 credit amount over a 36 month duration to purchase a radio/TV.,good risk
36,male,3,rent,,moderate,7057,20,car,"The 36 year old male is highly skilled, rents housing, has a moderate checking account, was granted a 7057 credit amount over a 20 month duration to purchase a car.",good risk
41,male,1,rent,moderate,,1469,24,car,A 41 year old male with an unskilled resident job living in rented housing with a moderate savings account was granted a 1469 credit amount over a 24 month duration for the purpose of a car.,good risk
24,male,2,rent,little,moderate,2323,36,radio/TV,"The person is a 24 year old male with a skilled job who rents housing, has a little savings account and a moderate checking account, requested a credit amount of 2323 for a duration of 36 months for the purpose of purchasing a radio/TV.",bad risk
24,female,2,own,little,,932,6,radio/TV,The person is a 24 year old female with a skilled job who owns her housing. She has a little savings account and is seeking a 932 credit amount over a 6 month duration to purchase a radio/TV.,good risk
35,male,2,rent,little,moderate,1919,9,furniture/equipment,"The person is a 35 year old male with a skilled job who rents housing, has little savings, a moderate checking account, requested a 1919 credit amount over 9 month duration to purchase furniture/equipment.",bad risk
26,male,2,rent,,,2445,12,car,The person is a 26 year old male with a skilled job who rents housing. The credit amount is 2445 for a 12 month car loan.,good risk
39,male,3,own,little,moderate,11938,24,vacation/others,A 39 year old male with a highly skilled job lives in his own housing. His saving accounts are little and his checking account is moderate. He has requested a credit amount of 11938 over a duration of 24 months for the purpose of vacation/others.,bad risk
39,male,3,own,little,,6458,18,car,"The person is a 39 year old male with a highly skilled job who owns their housing, has little in their savings account, has requested a 6458 credit amount over an 18 month duration to purchase a car.",good risk
32,male,2,own,little,moderate,6078,12,car,"The 32 year old male has a skilled job, owns their housing, has a little savings account, a moderate checking account, took out a 6078 credit amount over 12 months duration for the purpose of a car.",good risk
30,female,2,own,,little,7721,24,furniture/equipment,The 30 year old female has a skilled job and owns her housing. Her checking account status is little. She has requested a 7721 credit amount over a 24 month duration to purchase furniture/equipment.,good risk
35,male,2,own,quite rich,moderate,1410,14,business,The person is a 35 year old male with a skilled job who owns their housing. They have quite rich saving accounts and a moderate checking account. They have requested a 1410 credit amount over a 14 month duration for a business purpose.,good risk
31,male,2,own,moderate,moderate,1449,6,business,"The 31 year old male has a skilled job, owns his housing, has moderate saving and checking accounts, was granted a 1449 credit amount over a 6 month duration for a business purpose.",good risk
23,female,2,rent,little,rich,392,15,education,"The person is a 23 year old female with a skilled job who rents housing, has a little savings account, a rich checking account, took out a 392 credit amount loan with a 15 month duration to pay for education.",good risk
28,male,1,rent,little,moderate,6260,18,car,"The person is a 28 year old male with an unskilled resident job who rents housing, has a little savings account, a moderate checking account, a 6260 credit amount over a 18 month duration car loan.",bad risk
25,female,2,own,little,,7855,36,car,The person is a 25 year old female with a skilled job who owns her housing. Her saving accounts status is little. She has requested a 7855 credit amount over a 36 month duration to purchase a car.,bad risk
35,male,2,own,quite rich,little,1680,12,radio/TV,A 35 year old male with a skilled job living in his own housing was granted a credit amount of 1680 for a duration of 12 months to purchase a radio/TV. His saving accounts were described as quite rich and his checking account as little.,good risk
47,male,2,own,,,3578,48,radio/TV,"The person is a 47 year old male with a skilled job who owns their housing. They have requested a 3,578 credit amount over a 48 month duration to purchase a radio/TV.",bad risk
30,female,3,own,,little,7174,42,radio/TV,"The 30 year old female has a highly skilled job, owns her housing, has a little checking account, requested a 7174 credit amount over a 42 month duration to purchase a radio/TV.",bad risk
27,female,2,rent,,little,2132,10,furniture/equipment,"The person is a 27 year old female with a skilled job who rents housing, has a little checking account, requested a 2132 credit amount over a 10 month duration to purchase furniture/equipment.",good risk
23,female,2,own,quite rich,little,4281,33,furniture/equipment,The person is a 23 year old female with a skilled job who owns her housing. She has quite rich savings accounts and a little checking account. She requested a 4281 credit amount over a 33 month duration to purchase furniture/equipment.,bad risk
36,male,3,own,quite rich,moderate,2366,12,car,"The 36 year old male has a highly skilled job, owns his housing, has quite rich saving accounts, moderate checking account, requested a 2366 credit amount over 12 month duration to purchase a car.",good risk
25,female,2,own,little,little,1835,21,radio/TV,The person is a 25 year old female with a skilled job who owns her housing. She has little money in her saving and checking accounts. She requested a 1835 credit amount over a 21 month duration to purchase a radio/TV.,good risk
41,female,3,rent,little,,3868,24,car,"The person is a 41 year old female with a highly skilled job who rents housing, has little savings, was granted a 3868 credit amount over a 24 month duration to purchase a car.",bad risk
24,male,1,rent,little,,1768,12,furniture/equipment,The person is a 24 year old male with a job categorized as unskilled and resident. He rents housing and has a little savings account. He has requested a credit amount of 1768 for a duration of 12 months for the stated purpose of purchasing furniture/equipment.,good risk
63,male,2,free,little,rich,781,10,car,"The person is a 63 year old male with a skilled job who lives in free housing, has little savings, a rich checking account, took out a 781 credit amount over 10 months duration for the purpose of a car.",bad risk
27,female,2,rent,,moderate,1924,18,furniture/equipment,"The person is a 27 year old female with a skilled job who rents housing, has a moderate checking account, was granted a 1,924 credit amount over an 18 month duration to purchase furniture/equipment.",good risk
30,male,2,own,little,little,2121,12,car,"The 30 year old male has a skilled job, owns his housing, has little money in his saving and checking accounts, has requested a 2121 credit amount over a 12 month duration to purchase a car.",good risk
40,male,1,own,little,little,701,12,radio/TV,The person is a 40 year old male with an unskilled resident job who owns their housing. They have little money in their savings and checking accounts. They are requesting a 701 credit amount over a 12 month duration to purchase a radio/TV.,good risk
30,male,2,own,little,moderate,639,12,repairs,A 30 year old male with a skilled job lives in his own housing. He has a little savings account and a moderate checking account. He requested a 639 credit amount over a 12 month duration to finance repairs.,good risk
34,male,3,own,little,moderate,1860,12,car,"A 34 year old male with a highly skilled job who owns his housing has a little savings account and a moderate checking account, requested 1860 credit amount over a 12 month duration to purchase a car.",good risk
29,female,2,own,little,little,3499,12,car,"The person is a 29 year old female with a skilled job who owns her housing. She has little savings and checking accounts. She is requesting a 3,499 credit amount over a 12 month duration to purchase a car.",good risk
24,female,2,own,,moderate,8487,48,car,"The person is a 24 year old female with a skilled job who owns her housing, has a moderate checking account, was granted a credit amount of 8487 for a car purchase loan with a duration of 48 months.",bad risk
29,male,2,own,little,little,6887,36,education,"The person is a 29 year old male with a skilled job who owns their housing. They have little money in both their saving and checking accounts. They are seeking 6,887 monetary units of credit with a duration of 36 months for the purpose of education.",bad risk
27,male,1,own,little,,2708,15,furniture/equipment,"The person is a 27 year old male with an unskilled resident job, living in his own housing, with little savings, taking a 2708 credit amount over a 15 month duration to purchase furniture or equipment.",good risk
47,male,2,free,little,,1984,18,furniture/equipment,The person is a 47 year old male with a skilled job living in free housing with a little savings account who was given a 1984 credit amount over an 18 month duration to purchase furniture/equipment.,good risk
21,female,2,own,moderate,,10144,60,radio/TV,The person is a 21 year old female with a skilled job who owns her housing. She has a moderate savings account and requested a 10144 credit amount over a 60 month duration to purchase a radio/TV.,bad risk
38,female,2,own,,,1240,12,radio/TV,"Here is a factual description of the provided credit risk data without subjective language or assessment: The person is 38 years old, female, has a skilled job, owns their housing, is requesting a credit amount of 1240 for a duration of 12 months for the purpose of purchasing a radio or TV.",good risk
27,male,2,own,rich,,8613,27,car,The person is a 27 year old male with a skilled job who owns their housing. They have a rich saving account and requested a credit amount of 8613 over a duration of 27 months to purchase a car.,bad risk
66,male,1,own,quite rich,moderate,766,12,radio/TV,"The 66 year old male has an unskilled and resident job, owns his housing, has quite rich saving accounts, moderate checking account, requested a 766 credit amount over 12 month duration to purchase a radio/TV.",bad risk
35,male,2,own,,moderate,2728,15,radio/TV,"The person is a 35 year old male with a skilled job who owns their housing, has a moderate checking account, requested a 2728 credit amount over a 15 month duration to purchase a radio/TV.",good risk
44,female,1,rent,little,rich,1881,12,radio/TV,"A 44 year old female with a job classified as unskilled and resident, living in rented housing, has little savings, a rich checking account, sought 1881 currency units of credit over a 12 month duration to purchase a radio/TV.",bad risk
27,male,0,own,rich,rich,709,6,car,"The person is a 27 year old male with an unskilled non-resident job who owns their housing, has rich saving and checking accounts, was granted a 709 credit amount over 6 months duration for the purpose of a car.",good risk
30,female,3,own,little,moderate,4795,36,radio/TV,The person is a 30 year old female with a highly skilled job who owns her housing. She has a little savings account and a moderate checking account. She requested a 4795 credit amount over a 36 month duration to purchase a radio/TV.,bad risk
27,male,3,own,little,little,3416,27,radio/TV,"The 27 year old male has a highly skilled job, owns his housing, has little money in his savings and checking accounts, has requested a 3416 credit amount over a 27 month duration to purchase a radio/TV.",good risk
22,male,2,own,little,little,2462,18,furniture/equipment,"A 22 year old male with a skilled job living in his own housing has little in his saving and checking accounts, requested a 2462 credit amount over an 18 month duration to purchase furniture/equipment.",good risk
23,female,2,own,little,,2288,21,furniture/equipment,The person is a 23 year old female with a skilled job who lives in her own housing. Her saving accounts status is little. She has requested a credit amount of 2288 for a duration of 21 months for the purpose of furniture/equipment.,good risk
30,male,2,own,moderate,moderate,3566,48,business,"The 30 year old male has a skilled job, owns their housing, has moderate saving and checking accounts, was granted a 3566 credit amount over a 48 month duration for a business purpose.",bad risk
39,female,2,own,little,little,860,6,car,The person is a 39 year old female with a skilled job who owns her housing. She has little money in her saving and checking accounts. She requested an 860 credit amount over a 6 month duration to purchase a car.,good risk
51,female,2,own,moderate,,682,12,car,"The person is a 51 year old female with a skilled job who owns her housing. She has a moderate saving account, requested a 682 credit amount over a 12 month duration to purchase a car.",good risk
28,male,2,own,little,little,5371,36,furniture/equipment,"The 28 year old male has a skilled job, owns his housing, has little in his saving and checking accounts, has requested a $5,371 credit to be paid over 36 months for the purpose of purchasing furniture and equipment.",bad risk
46,male,2,own,rich,,1582,18,radio/TV,The person is a 46 year old male with a skilled job who owns their housing. They have a rich saving account and are seeking a credit amount of 1582 over a duration of 18 months for the purpose of a radio/TV.,good risk
42,male,2,free,moderate,,1346,6,radio/TV,The person data describes a 42 year old male with a skilled job living in free housing with a moderate saving account who is seeking 1346 amount of credit over a 6 month duration to purchase a radio/TV.,good risk
